has_healthy_diet,apple,banana,carrot,spinach,broccoli,orange,strawberry,grapes,gummy_candy
1.000000000000000000e+00,-1.071962552290219195e+00,4.550237203475199221e-01,1.445125956926533783e+00,-7.735617982085407629e-02,-1.968856987039095396e-01,-1.114616963067926791e+00,-2.292926535523081011e-01,-1.592794259721527661e+00,-9.128779867188272501e-01
1.000000000000000000e+00,2.267860461091354141e-01,nan,2.809210861229503031e+00,-5.865850850709006803e-01,1.435300156645439973e+00,2.437524804016479030e-01,-1.512476467463758634e-01,4.325944517261521849e-01,6.191648367995918056e-02
1.000000000000000000e+00,1.103957256122185260e-01,-4.083331628266692048e-01,-1.398109659798850712e+00,-1.543625202522081574e+00,6.532448832812269846e-01,-2.767000900857133905e-01,-5.960888996561666264e-01,nan,7.949322529156275241e-01
0.000000000000000000e+00,1.803639430263981880e-01,-6.560549366409673677e-01,1.226292955648949690e+00,1.579185502981631961e+00,4.945566553228533113e-01,9.736635113440901268e-01,nan,1.130099316404513665e+00,6.140991771126236287e-01
0.000000000000000000e+00,5.983470470748828429e-01,5.196605733465026189e-01,-1.097337674547043562e+00,7.007231568595857496e-01,-1.355813971126553996e+00,-7.945994551250549209e-01,nan,8.402201626941975254e-01,1.487398289685862629e+00
1.000000000000000000e+00,-2.716743836872922424e-01,-1.152248841276767521e+00,-2.404371970703428341e-01,1.020312972405742064e-01,7.898871634000968756e-02,1.133680478756701637e+00,-3.612704250034455278e-01,3.520344718029242426e-01,-9.886271494346060562e-01
0.000000000000000000e+00,4.503172780438129963e-01,3.108550185636744980e-03,-7.498133382845174610e-01,-2.358293621748528135e-01,-1.841757465152216444e-01,-2.701551293370961782e-01,1.771341242267683525e+00,-9.844600230787962925e-02,-2.438961101773377271e-01
1.000000000000000000e+00,-2.097450957610141664e+00,-8.942073519794773162e-01,-2.630734244563528446e-01,-6.858526761766428059e-01,1.381707593377796917e+00,-1.649377753962186222e-01,1.288444249318252410e+00,6.170463405036802351e-02,nan
1.000000000000000000e+00,-8.879644771250094770e-02,3.796251621459132471e-03,1.718795003049859327e+00,-2.319610726751218266e+00,-2.001545744438678831e+00,-5.431708310561138564e-01,1.452788193756888308e-02,nan,4.730871980274751754e-01
1.000000000000000000e+00,-3.842459128805701951e-01,nan,1.030195403152730949e+00,1.840578312715655251e-01,9.626575724868412509e-01,2.726452634321288038e-01,-5.614830267828836430e-01,6.978168390000046850e-01,1.106131225786777111e-01
0.000000000000000000e+00,1.339846754486929102e-03,1.472953572189574345e+00,-2.450872128540086514e+00,-1.417684170159569712e+00,-1.187070426374370102e+00,-3.632606475688056058e-01,-2.546081697660301235e-01,-1.507325647773047450e+00,-9.851580323108263260e-01
1.000000000000000000e+00,-8.608416785235701862e-01,2.457424092075891853e+00,1.801741947747146577e+00,-4.117494176846492882e-01,-3.635832903067989230e-01,-1.149203997188294135e+00,-1.908130413225266775e+00,-1.168801864085240311e-01,-9.978519832440256865e-01
1.000000000000000000e+00,-8.485053166200977326e-02,-1.600205849043477402e+00,-7.619744583102577851e-01,nan,3.662095977839374128e-01,4.174719587420145372e-01,-1.320488984157037304e+00,8.546857301355617054e-01,-8.002116966018503197e-01
1.000000000000000000e+00,6.328579146073064488e-01,nan,-1.376387499077947885e+00,-3.161977045811879550e-01,3.653637420637675937e-01,6.129653804745990309e-01,-1.409878974444186139e-01,1.531778890601052767e+00,1.007510770986558946e+00
0.000000000000000000e+00,-2.566541163997528296e-01,7.501218121369445102e-01,1.933793485188186834e+00,1.960484600783026998e+00,nan,-9.265331111571506462e-01,1.484918786733850915e+00,-1.058281050837637238e+00,-1.322541133291678994e+00
0.000000000000000000e+00,-4.861941306990468781e-01,4.202267094745857356e-01,-1.023967066110963720e-01,-6.505636204055921246e-01,-6.742124617245089935e-01,-7.123370644127087203e-01,-8.795096286589425549e-01,2.281632877276061677e+00,2.975110711855549206e-01
0.000000000000000000e+00,8.867590544047385670e-01,nan,-1.859566771860488577e-01,-7.135539813703549727e-01,nan,-1.378009276847866227e+00,-1.810618679980394718e+00,-2.249783777951607444e+00,-1.195358974298102783e+00
0.000000000000000000e+00,1.324955679381630835e+00,-4.443616770435442065e-02,1.290563762321174091e+00,4.109825769008753071e-01,7.825588257151592231e-01,-9.008969953045751211e-01,5.239509541926707925e-01,7.287142340743458790e-01,-5.766472922336929319e-01
1.000000000000000000e+00,nan,5.661877585748329444e-01,-5.495526211300828523e-01,-1.122768432270994987e+00,-1.184128331898272268e+00,8.650554192146178711e-02,3.270098687893148171e-01,-7.925258304579144708e-01,2.658534132609863959e-02
1.000000000000000000e+00,5.705370361384853872e-01,6.181907146653008445e-01,1.551880120122488549e+00,1.276980832198043370e+00,-1.001291432756544086e+00,1.683586209538022516e+00,-5.309765045557147678e-01,1.044872812454427535e+00,6.798662605108884982e-02
1.000000000000000000e+00,-4.121493784569675856e-01,-1.807696859774932774e+00,-1.715645102163481928e-01,-1.559383235305608961e+00,9.672992358427723314e-01,1.516792657139248046e+00,-7.969109892966902420e-01,3.019707425192711403e-01,-7.253915220079754089e-01
0.000000000000000000e+00,-6.284847301367896266e-01,7.744947038653713367e-01,-3.853826184341251071e-02,1.739648041931011635e+00,-4.822324787029210191e-01,9.993363324744891640e-01,9.741341295778198350e-02,7.957780097442331835e-01,-4.471576573299467228e-01
0.000000000000000000e+00,-4.955883755158271148e-02,-1.154988792989347507e-01,-8.360571148457871526e-01,6.620815345817526731e-01,6.502490055783641809e-01,5.935546949055666710e-01,1.536965653917644614e+00,1.449344801236303493e+00,-3.749446898491353708e-01
0.000000000000000000e+00,3.730523184341782428e-01,nan,2.335531611455545636e-02,-5.997494491188647414e-01,1.620070309136051101e+00,3.636981503429628226e-01,-2.180291281044221263e-01,1.193618571856376986e+00,-2.170615409795411566e+00
0.000000000000000000e+00,-2.014102594865289753e+00,7.958386552197739272e-01,6.046844811736806075e-02,2.504463002607606459e-01,-1.326396103318548736e+00,-2.323371085036620223e-02,nan,8.241996197958628700e-01,1.697065451428121097e-01
0.000000000000000000e+00,-4.390539101049376614e-01,-3.945728518693938369e-01,-2.129197889200017624e+00,2.576404209211605734e-01,8.454831084818539289e-01,-1.575619327170615147e+00,-6.614168923068159955e-01,-1.157464632233422108e+00,-9.653511948087635242e-01
0.000000000000000000e+00,5.348162682190021888e-02,-2.084402154988474365e+00,6.142704383570639637e-01,7.538550699336822314e-01,-2.511025880369124885e-01,-2.480708509984541621e+00,-9.964186260023896180e-01,1.232901934102696551e+00,-2.777994280728572463e+00
0.000000000000000000e+00,-3.475234121935192322e-01,-1.180000778467259037e+00,8.045703015848365558e-01,-6.751139521434613711e-01,4.039540207356115409e-01,5.654604191690930648e-01,1.836225839730019960e+00,-2.029419436753702177e-01,3.760443696226113408e-01
1.000000000000000000e+00,-1.485055479127435962e+00,nan,-7.605088480713646515e-01,-5.607541640877455880e-01,-2.224779484921073774e-02,-1.562884345339849546e+00,2.287700289289379962e-01,9.674662729250107507e-01,2.929338234972915789e-01
0.000000000000000000e+00,-1.588897564178725075e+00,-1.238092943296595777e-01,7.420289029794906455e-01,-1.877988765965907803e+00,-1.074766013817713972e+00,8.765436040815199892e-01,2.700954341972865436e-01,4.119715821267538325e-01,1.859494807623311541e+00
1.000000000000000000e+00,4.685527785062025830e-01,6.578880104331793488e-01,2.710745527218326067e+00,-2.138045580904907039e-01,-7.978827636184950833e-01,4.277963982471327253e-01,4.389910293888948933e-01,-5.267153919462082001e-01,-1.032397019554847528e+00
1.000000000000000000e+00,2.309844422090078009e+00,3.268434703880229164e-01,-7.322853814020756635e-01,9.159303022795985960e-01,-1.091451515613345025e-01,-2.528814463178312710e-01,5.622728719144932663e-01,-1.291882268231689945e+00,3.526272039171723938e-01
0.000000000000000000e+00,1.912954807731752194e+00,4.661776621973107715e-01,-3.762121037834644799e-01,-5.071052804282419890e-01,-4.103399733451093545e-01,-2.539626780477810541e-01,-3.778065327582719735e-01,9.163114410745667460e-01,-1.733209103208983137e+00
1.000000000000000000e+00,8.620000504121340112e-01,-3.796865251425611265e-01,3.769477856953722394e-01,-1.126987910200863752e+00,1.328631066849436104e+00,1.245634960171873029e+00,9.595905257500736418e-01,-1.514754775793539343e+00,8.291210710660528171e-01
1.000000000000000000e+00,4.048550876357088768e-01,-1.605271247132567636e+00,-2.429738377081549008e-02,3.645344890332625210e-01,5.560752738231508063e-01,1.772613669488557198e-01,2.912314168473796872e-01,1.473611392253095564e+00,1.226033909910679842e+00
0.000000000000000000e+00,-2.867054953782743443e+00,-3.174385548376820187e-01,-1.646510275439512783e-01,-1.752098572726971115e+00,9.418305823231216956e-02,1.248757772410506561e+00,-1.086567859590590324e+00,3.364009386898723086e-01,-9.158234772964377601e-01
0.000000000000000000e+00,-6.719120236796768397e-01,1.477393634170035108e+00,-5.425578201118249622e-01,4.622124890106246720e-01,-1.871218116060987091e+00,1.862317561394880139e+00,6.026524463064989456e-01,-1.824998426502616733e-01,5.755465099998947620e-01
1.000000000000000000e+00,-1.409819428947810316e+00,1.182530741752657155e+00,-3.239847754964301774e-01,-2.040695150484347076e-01,-4.916556149654844332e-01,-5.806514027455846882e-01,6.946706116284085963e-01,2.559068501042228716e-01,6.517481414030399378e-01
0.000000000000000000e+00,-8.794689485571452470e-03,5.131998110771810451e-01,-4.188487439250383471e-01,2.229731841409548387e+00,-1.567930416430498575e+00,1.260937323562984380e+00,1.367907450720970752e+00,-8.521588059655937908e-01,2.229273610555973395e+00
0.000000000000000000e+00,9.954902829453181612e-01,9.711390068229115435e-01,2.802218702587668669e-02,-2.172261582186764406e-01,-2.094088270396081142e-01,3.905305963195171981e-01,1.401186275033896145e+00,1.813142178614196021e-01,-9.114436231372903263e-01
0.000000000000000000e+00,8.244270623849797586e-01,9.211507463947922192e-01,6.546595284477860766e-01,7.454989065249826297e-01,-2.709281301578080892e-01,-9.289891671305795517e-01,-8.681934306407798063e-01,nan,2.369486115459497610e-01
1.000000000000000000e+00,-8.344878322659361747e-02,-4.399877045297087563e-01,-2.955618824345069839e+00,-1.247317469694168901e+00,1.120840651403166799e+00,-6.646260000631309950e-01,3.605916776568414139e-01,-1.390685429975256238e+00,1.438705482359231125e+00
1.000000000000000000e+00,-1.440276600546764041e-01,2.900403964835351900e-01,2.325779791881684933e+00,1.516440100589403706e+00,-3.065656212870577768e-01,-5.932201848703592129e-01,-3.255450115195318017e-01,5.098982484765356427e-01,-1.052241342508711264e-01
1.000000000000000000e+00,-3.952441450034716586e-01,1.467181250709042262e+00,-1.142098917778368861e-01,2.299589093037319287e+00,9.074256375217301662e-02,1.785318394224727490e+00,3.573194227106267773e-01,9.629605732494478376e-01,-7.246110515177244249e-01
1.000000000000000000e+00,-8.537592225874117702e-01,4.597059550149875107e-01,9.885532424653151740e-01,4.025650200046286542e-02,-1.286393335083697131e+00,-1.360258366289327059e+00,-1.427136402186241160e+00,-1.767622112939380985e+00,1.094853594470875102e-01
0.000000000000000000e+00,1.125043921708025252e+00,-1.341578692480876848e-02,-2.260414757337852354e+00,-1.907604603345487149e-01,-1.627989966326071070e-01,2.095998750225439355e+00,-1.457137912919556300e+00,-3.906776025991957058e-01,1.705852680544564182e+00
1.000000000000000000e+00,4.499783413465480719e-01,5.633130735164246783e-01,1.145844370238782162e-01,3.299435386572645568e-01,nan,-8.094863188927663433e-01,8.780585789081998271e-01,-1.373003016885539163e+00,nan
0.000000000000000000e+00,1.787409632863271591e-01,-6.162930881921079296e-01,-2.268527532564673654e-02,-6.225401526655530704e-01,-1.071701326861744352e+00,-3.536147416136443677e-01,-1.103988635371661475e+00,3.227974640932481099e-01,nan
0.000000000000000000e+00,7.119770229910513670e-01,-1.181479067928820070e+00,-5.662949155810063084e-01,-6.246034082151790123e-01,1.325146728874838864e+00,3.302899456165918624e-01,-2.117338025443942506e-01,4.987194410697233238e-01,-2.107192347329688076e+00
1.000000000000000000e+00,-4.313358964090744513e-02,nan,1.323465064026725646e-01,6.791316916933549941e-02,5.481283796421960730e-01,8.956052433143455449e-01,-1.997466692889859674e+00,-1.682326481791026840e+00,2.102912910861465534e-01
0.000000000000000000e+00,-7.148765618975096992e-01,1.312025262219914223e+00,-3.151743898852238934e-01,-1.934530735713117844e+00,-1.268013916843997002e+00,-2.749676019630575396e+00,-2.341255372829125492e-01,-1.883841272643833609e-01,-4.244627097818977624e-01
1.000000000000000000e+00,1.078879039029738696e+00,1.198519836516693582e+00,-1.703884233561112072e-01,-2.134693667476855961e+00,6.172815804922584526e-01,5.553602285085754708e-01,3.093915701569450172e-01,9.814797493081157675e-01,-1.164828096461040019e+00
1.000000000000000000e+00,2.008755386185138825e+00,-9.594277531418680116e-01,nan,-1.687347694413351640e+00,-9.302646872700508496e-01,1.516368646725336111e+00,-2.608998230008499064e-01,8.399226051327979281e-01,2.369553887192460961e-01
1.000000000000000000e+00,-1.049581560001726782e-01,1.363850324932689650e+00,-2.366588246519003291e-01,-1.780738107563470507e+00,-8.032400919517050930e-01,5.511917287016941946e-01,3.955091063625081338e-01,-1.567058250235438210e+00,-7.243425194082010465e-01
1.000000000000000000e+00,-5.817213492022466070e-01,-3.654695941142250271e-01,nan,-6.283711081194786052e-01,-7.286104852595274295e-01,7.715332597619193322e-01,8.091213109902437584e-01,-1.458104580888159862e-01,-3.920397958707315111e-01
1.000000000000000000e+00,1.399243120391134021e-01,-8.165751074555749334e-01,-1.146832082167440925e+00,-9.402212089257169225e-01,-6.348131639714567065e-01,-1.163473799792271057e+00,1.620595590628747529e-01,7.297156737837083851e-01,-1.587098300798241768e+00
0.000000000000000000e+00,2.512871121603334895e-02,-2.199357952663355820e-01,3.415086855368029140e-01,-1.293876810358806154e-02,-1.453599279931630850e+00,-1.262389298857165443e+00,2.942357558497272346e-02,1.028780919745509337e+00,-2.214187371043002894e+00
0.000000000000000000e+00,3.457265798015799474e-01,1.189622005287643169e+00,-1.530258762062131073e-01,5.502024960264407794e-01,-7.030690808978021789e-01,-1.193661992768768193e-01,-1.620913518308151557e+00,-2.344343308418873839e+00,9.427658012252752018e-01
0.000000000000000000e+00,-9.849949277244418600e-01,-4.555278450034305204e-01,-1.386442253270193214e+00,-1.409969703083875814e+00,-1.738377000946163542e-01,-7.295771941356464785e-01,3.779709979946984655e-01,4.525384189795919054e-01,3.208496463246071628e-01
0.000000000000000000e+00,nan,1.577768204931886187e+00,-1.067593769044886010e+00,-5.493486620291775091e-02,1.132689820519588775e+00,1.264539809338036447e+00,-1.421763649344572888e+00,-3.123554416558699254e-01,1.358121095867260486e+00
0.000000000000000000e+00,5.080791051990652951e-01,1.952630314797727529e-01,-2.176846934346567397e-01,-3.838009257077454328e-01,2.882190630903241901e-01,-2.523741249844833612e-01,-4.257862104444418150e-02,7.859870611503737281e-02,-6.780715284934991649e-01
1.000000000000000000e+00,5.321293738814383278e-01,2.914244648415419636e+00,-1.776986639326075146e+00,3.240125241899798891e-01,-7.601900886189055795e-01,5.774025775192499488e-01,4.655747332786092096e-02,7.618547740424634895e-01,1.175506576508779544e+00
0.000000000000000000e+00,1.924211177681813267e-01,1.132052288414178154e+00,-2.344297893788677367e+00,1.590452297916023161e+00,3.750621518923401010e-01,1.077843355745181864e+00,-1.219875744841521614e+00,-8.307698816053357138e-01,nan
0.000000000000000000e+00,-1.703788933746301637e-02,2.830685880099895746e-01,1.084515160929966138e+00,-1.765220315302849174e+00,9.738190717173090816e-01,8.281909957927017715e-03,-2.037818611245477418e-01,-1.471115234384890336e+00,5.030486683768650158e-01
0.000000000000000000e+00,-2.414107851031037200e+00,6.483940112387126531e-01,-1.492105835472991915e+00,5.345791261747403350e-02,-1.191688373279204266e-01,1.169538147293883723e+00,-1.786551690138901693e-01,-6.941385611456656335e-01,-5.066026959712029987e-01
0.000000000000000000e+00,1.272882768754663552e+00,5.362969691808936457e-01,-3.856299815231613026e-01,-2.364464199645134324e-01,-1.567177090585446964e+00,3.884742008515409961e-01,-1.759815707695465692e+00,7.517964658354561180e-01,1.286215924912658404e-01
1.000000000000000000e+00,2.386951799573922450e+00,-1.100135553724305826e+00,-1.026620910406329384e-01,1.798287700923062671e+00,nan,-6.962120515798997378e-01,2.239674283734477411e-01,1.999356415087233125e-03,2.819558673941571780e-01
1.000000000000000000e+00,-6.986804359848297619e-01,-8.932040270073451915e-02,-1.598052375276713732e+00,1.351234518680820562e-01,nan,-2.274194126438839891e-01,-1.615050890584787791e+00,9.885318628514624395e-01,3.645250379928022810e-01
1.000000000000000000e+00,-7.260150977009768303e-01,-2.806004468380639549e-01,-1.500669402781838802e+00,-1.025410127777904412e+00,-5.378113463571394526e-01,1.228420812280151209e+00,-6.395033908874756534e-01,nan,-5.383162028615797734e-01
1.000000000000000000e+00,2.479475608518748597e-01,-1.413955021438021709e-01,8.730566000927434400e-01,-5.348113382185578635e-01,-1.572528250002440897e+00,-1.381949031363632674e+00,-5.318774939427574067e-01,-1.249059970678052744e+00,4.102120156795512895e-01
0.000000000000000000e+00,-4.657681648580778155e-01,2.374606550026431506e+00,-1.737714595137132001e+00,2.036331787098012158e-01,-1.127953023505668950e+00,-4.934013403826785771e-01,1.414194733405441662e-01,-2.325371374874286801e+00,2.368261167880274798e-01
1.000000000000000000e+00,1.902907462274167738e+00,-4.534382983685928403e-01,2.598078568055094961e-01,1.024921693125399269e+00,-1.639535000269965459e-01,-5.809601885314832348e-01,-2.275736403721752232e+00,6.409907193949733184e-01,-1.131684097288972318e-01
0.000000000000000000e+00,-1.012683851388161749e+00,1.265967102776935638e-01,-5.836803568061813552e-01,-5.284261311155256102e-01,6.062911561087082069e-01,-1.338382411323844501e+00,1.047315286073758456e+00,-1.397686163118403657e+00,-6.627014083552638102e-01
0.000000000000000000e+00,1.922946194066577297e+00,1.127354761642422210e+00,9.760399249544018940e-02,-9.405302155012165155e-01,-5.292723066998932246e-01,7.327531458569640221e-02,3.752323233959842241e-02,-9.087092962596285406e-02,-3.083251408418433148e-02
0.000000000000000000e+00,-2.143751097051140864e-01,-1.441978735640012887e+00,-5.165107421608328142e-01,9.146240539868465413e-01,-1.368334297551117462e+00,-1.895555115392785206e-01,-8.197539287708439648e-01,1.113504293981113225e-01,-3.886331810668181563e-01
1.000000000000000000e+00,1.477393664974669063e+00,5.065831541902537927e-01,-1.311803165777211344e+00,6.712280116136986052e-01,-7.746518562620630100e-01,-5.769963713775335679e-01,3.138190201071218155e-01,-4.917474197301347494e-01,8.928558163229552980e-01
0.000000000000000000e+00,-7.745100615133954092e-01,-6.189465525913632193e-01,-6.563708935481088469e-01,-5.656387483550389117e-01,1.099191555547812893e+00,6.287962936103030920e-01,1.709943954012071110e+00,2.267644203899254585e+00,-1.030717031932339767e+00
0.000000000000000000e+00,7.041912732728888846e-02,-1.176200316643432942e+00,-7.776059277482670895e-01,-6.300825102556694146e-01,-1.057154874138274359e+00,-1.051887272898413661e+00,-1.442843785202548579e-01,-1.216718418386407041e+00,nan
1.000000000000000000e+00,-9.177535374175141980e-01,2.809568970096392171e+00,-4.513844509643951675e-01,7.201764191705221918e-02,-1.295341184466035189e+00,1.706091758127639357e+00,1.119500680802916204e+00,2.969158707361125304e-01,-1.346802548779565623e+00
0.000000000000000000e+00,2.106668777246202828e-01,-1.121431046017254962e+00,1.462355263473360756e+00,8.091947318531726996e-01,9.543903848773611920e-02,-2.436375663247322354e+00,-9.834159786590306318e-01,6.877611315998723995e-01,1.212883691723155799e+00
1.000000000000000000e+00,1.109169811492131563e+00,-1.592013002241455366e+00,3.015523068129040696e-01,1.015515216482929528e+00,-1.658335565582245152e+00,-7.904515373236347189e-03,nan,-3.007645848467349059e-01,-1.852161855401201596e+00
0.000000000000000000e+00,-3.256981100737286750e-01,-3.273054302550240102e-01,-1.480724045477541939e-01,-5.634714254250695609e-01,-4.430121532414673102e-01,-3.970628234697790027e-02,4.424546049697111183e-01,-3.044267628566671990e-01,-4.096489283680018745e-01
0.000000000000000000e+00,9.235403825445807902e-02,-1.920915925895181564e+00,4.770351272264580778e-01,-5.630971229588082076e-04,3.969352659756182622e-02,9.607343075944639876e-01,-1.952815530048248149e+00,-1.973833869858963697e+00,2.738038453235195346e-01
0.000000000000000000e+00,-7.116855128515772733e-03,1.701769431919322173e-01,-4.621270751724455561e-01,6.643536742399311912e-01,9.326388429911199873e-01,4.839822939515270317e-01,-2.608284584045831300e-01,-2.107689387614402943e+00,7.692362080371281108e-01
1.000000000000000000e+00,1.221728666217592796e+00,6.445584119839800064e-01,-8.796424273675065297e-01,6.737943936677578405e-01,8.605297079614454558e-01,1.558816247799085675e+00,-8.761099242279576371e-01,-2.264545845441384708e-01,7.472720511434551849e-01
0.000000000000000000e+00,5.741007143815778785e-02,-1.117327602051274793e+00,4.146162850267030020e-01,5.786616338151666650e-01,8.796289633100198846e-02,2.195849271799441560e-01,-2.587059016857301552e-01,1.478278935716059284e+00,-9.006921837126765640e-01
0.000000000000000000e+00,-5.873207627637788697e-01,1.098551352752562098e-02,8.789540277008925928e-01,-1.497373170094536743e+00,-1.310296749765439195e+00,-2.037728507734717809e+00,3.269522525327078766e-02,-1.118305817206543873e+00,-3.845501100179167242e-01
0.000000000000000000e+00,6.613781898917080460e-01,-6.415427207828465761e-01,2.312820227433645681e-01,-2.993379077517220321e-01,6.721143150964368207e-01,4.751280673480087757e-01,-6.919336961746099801e-01,-1.686517534004526309e-01,1.043743397720494404e+00
1.000000000000000000e+00,3.933768702540970108e-01,-1.396962057751131470e+00,nan,-1.084610622436238181e+00,1.412513069961006007e+00,1.024098839841024899e+00,2.898854759184008034e-01,1.572328434361933980e-01,-2.090322560274200103e-01
1.000000000000000000e+00,6.785239514000280803e-01,-3.707781694620616575e-01,2.355698706398938747e-01,8.719343665194511095e-01,-5.618065435255896745e-01,-6.161927399906945713e-01,-1.194365480724459028e+00,-1.064472746126172265e+00,-1.828395311441502358e+00
1.000000000000000000e+00,7.298287890155296109e-01,1.808914542082770804e+00,1.425328943470305587e+00,-1.626084488626516444e+00,7.248546715561999809e-01,1.422106349923556445e+00,-4.568099807386640232e-01,1.014474306500494638e-01,-2.007893050804670398e+00
0.000000000000000000e+00,2.667361679766415139e-01,-1.063559729434717438e+00,1.996350179115145285e-01,-1.561202922188880349e+00,5.428582244775959076e-01,1.024512675426689778e+00,-7.831798617151676245e-01,-1.136922581410434452e+00,-2.156023042549981117e+00
1.000000000000000000e+00,-2.664135340751770387e-01,-5.815939342816051072e-01,-1.551019412348054738e+00,4.530187563121716443e-01,-4.499703818646491604e-01,-1.075735958645232415e+00,-5.545724056404470748e-01,1.071304538929615635e+00,6.029369437552222211e-01
1.000000000000000000e+00,-1.300260614984898311e-01,6.191050184648525523e-01,-1.160911956386738941e+00,3.237010072703053187e-02,1.473223304864705596e-01,-4.698365084987268792e-01,nan,-7.804334546444512410e-01,5.098207077761178763e-01
1.000000000000000000e+00,5.518587715312919251e-01,nan,1.190305703510117663e+00,-3.047632565352754064e+00,-6.160490255561252848e-01,1.025348034257755003e+00,-3.172867252524406712e-01,-1.466185982469542015e+00,-1.093737061716670622e+00
0.000000000000000000e+00,nan,-1.921504530548638234e+00,1.128991100962017269e+00,-5.510209904228934030e-02,-1.192395330442433510e+00,-5.831150723026911065e-01,-1.017224341101641283e+00,8.662252008585286100e-01,7.324278097628382778e-01
0.000000000000000000e+00,-1.719161133876046632e+00,-4.035921185193340754e-01,nan,1.293509968459370274e+00,-1.350099118126421027e+00,1.604229104685013896e+00,-3.329473951693756595e-02,-1.161934406380087603e+00,-6.772741840092778576e-01
0.000000000000000000e+00,-8.016188407684505801e-01,-1.274618402015506025e+00,9.482685973037566218e-02,-1.227915550691843327e+00,-2.180366208738188760e+00,-3.796764708481730755e-01,-1.802856196417882639e+00,-7.521608680675203606e-01,nan
1.000000000000000000e+00,-8.712160720258141922e-01,2.000963101590153670e+00,5.641156716957076295e-02,2.453710089953321516e-01,-1.776398296342294625e+00,-6.539631336369219339e-01,2.153026299415119749e-01,-1.024528912913006407e+00,9.080628435179853852e-01
0.000000000000000000e+00,-1.202696585901030124e+00,-2.863661358651756195e-01,-5.860516399755586470e-01,1.643206593819159789e-01,-6.404900718554259464e-01,nan,-2.361300917779855513e-01,-7.343877573913010215e-01,4.850938684971126680e-01
0.000000000000000000e+00,2.383883748374252820e-01,-8.861394525316730608e-02,-4.304583334619581092e-01,7.965440305199970039e-01,-2.358342438141813602e-01,-3.066972878259371926e-01,1.046900298881260072e-01,1.696586682970850690e+00,-1.340356208021203921e+00
0.000000000000000000e+00,7.698568930553546519e-01,-1.893171161238105027e+00,2.172731582286239471e-01,1.575082827608730751e+00,4.886685244673071304e-01,1.706250785397928071e-01,-5.604494688030755567e-01,3.104720048855423922e-02,-2.520628154033562884e-01
1.000000000000000000e+00,-7.859766079313553755e-01,-2.898756154748698410e-01,1.983811606264395400e-01,-7.672170685306403115e-01,-8.062818206846841251e-01,-1.360243437592174365e+00,3.907250260888960880e-01,5.453232619670603798e-01,2.316604442365174654e-01
